name,height,weight,base_experience,height_m,weight_kg,bmi
clefable,13,400,217.0,1.3,40.0,23.668639053254434
vulpix,6,99,60.0,0.6,9.9,27.500000000000004
ninetales,11,199,177.0,1.1,19.9,16.446280991735534
jigglypuff,5,55,95.0,0.5,5.5,22.0
wigglytuff,10,120,196.0,1.0,12.0,12.0
zubat,8,75,49.0,0.8,7.5,11.718749999999998
golbat,16,550,159.0,1.6,55.0,21.484374999999996
oddish,5,54,64.0,0.5,5.4,21.6
gloom,8,86,138.0,0.8,8.6,13.437499999999996
vileplume,12,186,221.0,1.2,18.6,12.916666666666668
paras,3,54,57.0,0.3,5.4,60.00000000000001
parasect,10,295,142.0,1.0,29.5,29.5
venonat,10,300,61.0,1.0,30.0,30.0
venomoth,15,125,158.0,1.5,12.5,5.555555555555555
diglett,2,8,53.0,0.2,0.8,19.999999999999996
dugtrio,7,333,149.0,0.7,33.3,67.9591836734694
meowth,4,42,58.0,0.4,4.2,26.249999999999996
persian,10,320,154.0,1.0,32.0,32.0
psyduck,8,196,64.0,0.8,19.6,30.624999999999996
golduck,17,766,175.0,1.7,76.6,26.505190311418687
mankey,5,280,61.0,0.5,28.0,112.0
primeape,10,320,159.0,1.0,32.0,32.0
growlithe,7,190,70.0,0.7,19.0,38.77551020408164
arcanine,19,1550,194.0,1.9,155.0,42.93628808864266
poliwag,6,124,60.0,0.6,12.4,34.44444444444445
poliwhirl,10,200,135.0,1.0,20.0,20.0
poliwrath,13,540,230.0,1.3,54.0,31.95266272189349
abra,9,195,62.0,0.9,19.5,24.074074074074073
kadabra,13,565,140.0,1.3,56.5,33.43195266272189
alakazam,15,480,225.0,1.5,48.0,21.333333333333332
machop,8,195,61.0,0.8,19.5,30.468749999999993
machoke,15,705,142.0,1.5,70.5,31.333333333333332
machamp,16,1300,227.0,1.6,130.0,50.78124999999999
bellsprout,7,40,60.0,0.7,4.0,8.163265306122451
weepinbell,10,64,137.0,1.0,6.4,6.4
victreebel,17,155,221.0,1.7,15.5,5.363321799307959
tentacool,9,455,67.0,0.9,45.5,56.172839506172835
tentacruel,16,550,180.0,1.6,55.0,21.484374999999996
geodude,4,200,60.0,0.4,20.0,124.99999999999997
graveler,10,1050,137.0,1.0,105.0,105.0
golem,14,3000,223.0,1.4,300.0,153.06122448979593
ponyta,10,300,82.0,1.0,30.0,30.0
rapidash,17,950,175.0,1.7,95.0,32.871972318339104
slowpoke,12,360,63.0,1.2,36.0,25.0
slowbro,16,785,172.0,1.6,78.5,30.664062499999993
magnemite,3,60,65.0,0.3,6.0,66.66666666666667
magneton,10,600,163.0,1.0,60.0,60.0
farfetchd,8,150,132.0,0.8,15.0,23.437499999999996
doduo,14,392,62.0,1.4,39.2,20.000000000000004
dodrio,18,852,165.0,1.8,85.2,26.296296296296294
seel,11,900,65.0,1.1,90.0,74.38016528925618
dewgong,17,1200,166.0,1.7,120.0,41.52249134948097
grimer,9,300,65.0,0.9,30.0,37.03703703703704
muk,12,300,175.0,1.2,30.0,20.833333333333336
shellder,3,40,61.0,0.3,4.0,44.44444444444444
cloyster,15,1325,184.0,1.5,132.5,58.888888888888886
gastly,13,1,62.0,1.3,0.1,0.05917159763313609
haunter,16,1,142.0,1.6,0.1,0.03906249999999999
gengar,15,405,225.0,1.5,40.5,18.0
onix,88,2100,77.0,8.8,210.0,2.711776859504132
drowzee,10,324,66.0,1.0,32.4,32.4
hypno,16,756,169.0,1.6,75.6,29.531249999999993
krabby,4,65,65.0,0.4,6.5,40.62499999999999
kingler,13,600,166.0,1.3,60.0,35.50295857988165
voltorb,5,104,66.0,0.5,10.4,41.6
electrode,12,666,172.0,1.2,66.6,46.25
exeggcute,4,25,65.0,0.4,2.5,15.624999999999996
exeggutor,20,1200,186.0,2.0,120.0,30.0
cubone,4,65,64.0,0.4,6.5,40.62499999999999
marowak,10,450,149.0,1.0,45.0,45.0
hitmonlee,15,498,159.0,1.5,49.8,22.133333333333333
hitmonchan,14,502,159.0,1.4,50.2,25.61224489795919
lickitung,12,655,77.0,1.2,65.5,45.486111111111114
koffing,6,10,68.0,0.6,1.0,2.7777777777777777
weezing,12,95,172.0,1.2,9.5,6.597222222222222
rhyhorn,10,1150,69.0,1.0,115.0,115.0
rhydon,19,1200,170.0,1.9,120.0,33.2409972299169
chansey,11,346,395.0,1.1,34.6,28.595041322314046
tangela,10,350,87.0,1.0,35.0,35.0
kangaskhan,22,800,172.0,2.2,80.0,16.52892561983471
horsea,4,80,59.0,0.4,8.0,49.99999999999999
seadra,12,250,154.0,1.2,25.0,17.36111111111111
goldeen,6,150,64.0,0.6,15.0,41.66666666666667
seaking,13,390,158.0,1.3,39.0,23.076923076923073
staryu,8,345,68.0,0.8,34.5,53.90624999999999
starmie,11,800,182.0,1.1,80.0,66.11570247933884
mr-mime,13,545,161.0,1.3,54.5,32.24852071005917
scyther,15,560,100.0,1.5,56.0,24.88888888888889
jynx,14,406,159.0,1.4,40.6,20.71428571428572
electabuzz,11,300,172.0,1.1,30.0,24.793388429752063
magmar,13,445,173.0,1.3,44.5,26.33136094674556
pinsir,15,550,175.0,1.5,55.0,24.444444444444443
tauros,14,884,172.0,1.4,88.4,45.10204081632654
magikarp,9,100,40.0,0.9,10.0,12.345679012345679
gyarados,65,2350,189.0,6.5,235.0,5.562130177514793
lapras,25,2200,187.0,2.5,220.0,35.2
ditto,3,40,101.0,0.3,4.0,44.44444444444444
eevee,3,65,65.0,0.3,6.5,72.22222222222223
vaporeon,10,290,184.0,1.0,29.0,29.0
jolteon,8,245,184.0,0.8,24.5,38.28124999999999
flareon,9,250,184.0,0.9,25.0,30.864197530864196
porygon,8,365,79.0,0.8,36.5,57.031249999999986
omanyte,4,75,71.0,0.4,7.5,46.87499999999999
omastar,10,350,173.0,1.0,35.0,35.0
kabuto,5,115,71.0,0.5,11.5,46.0
kabutops,13,405,173.0,1.3,40.5,23.964497041420117
aerodactyl,18,590,180.0,1.8,59.0,18.209876543209877
snorlax,21,4600,189.0,2.1,460.0,104.30839002267574
articuno,17,554,261.0,1.7,55.4,19.169550173010382
zapdos,16,526,261.0,1.6,52.6,20.546874999999996
moltres,20,600,261.0,2.0,60.0,15.0
dratini,18,33,60.0,1.8,3.3,1.0185185185185184
dragonair,40,165,147.0,4.0,16.5,1.03125
dragonite,22,2100,270.0,2.2,210.0,43.38842975206611
mewtwo,20,1220,306.0,2.0,122.0,30.5
mew,4,40,270.0,0.4,4.0,24.999999999999996
chikorita,9,64,64.0,0.9,6.4,7.901234567901234
bayleef,12,158,142.0,1.2,15.8,10.972222222222223
meganium,18,1005,236.0,1.8,100.5,31.018518518518515
cyndaquil,5,79,62.0,0.5,7.9,31.6
quilava,9,190,142.0,0.9,19.0,23.456790123456788
typhlosion,17,795,240.0,1.7,79.5,27.508650519031146
totodile,6,95,63.0,0.6,9.5,26.38888888888889
croconaw,11,250,142.0,1.1,25.0,20.661157024793386
feraligatr,23,888,239.0,2.3,88.8,16.78638941398866
sentret,8,60,43.0,0.8,6.0,9.374999999999998
furret,18,325,145.0,1.8,32.5,10.030864197530864
hoothoot,7,212,52.0,0.7,21.2,43.26530612244898
noctowl,16,408,158.0,1.6,40.8,15.937499999999996
ledyba,10,108,53.0,1.0,10.8,10.8
ledian,14,356,137.0,1.4,35.6,18.16326530612245
spinarak,5,85,50.0,0.5,8.5,34.0
ariados,11,335,140.0,1.1,33.5,27.685950413223136
crobat,18,750,241.0,1.8,75.0,23.148148148148145
chinchou,5,120,66.0,0.5,12.0,48.0
lanturn,12,225,161.0,1.2,22.5,15.625
pichu,3,20,41.0,0.3,2.0,22.22222222222222
cleffa,3,30,44.0,0.3,3.0,33.333333333333336
igglybuff,3,10,42.0,0.3,1.0,11.11111111111111
togepi,3,15,49.0,0.3,1.5,16.666666666666668
togetic,6,32,142.0,0.6,3.2,8.88888888888889
natu,2,20,64.0,0.2,2.0,49.99999999999999
xatu,15,150,165.0,1.5,15.0,6.666666666666667
mareep,6,78,56.0,0.6,7.8,21.666666666666668
flaaffy,8,133,128.0,0.8,13.3,20.781249999999996
ampharos,14,615,230.0,1.4,61.5,31.377551020408166
bellossom,4,58,221.0,0.4,5.8,36.24999999999999
marill,4,85,88.0,0.4,8.5,53.12499999999999
azumarill,8,285,189.0,0.8,28.5,44.53124999999999
sudowoodo,12,380,144.0,1.2,38.0,26.38888888888889
politoed,11,339,225.0,1.1,33.9,28.01652892561983
hoppip,4,5,50.0,0.4,0.5,3.1249999999999996
skiploom,6,10,119.0,0.6,1.0,2.7777777777777777
jumpluff,8,30,207.0,0.8,3.0,4.687499999999999
aipom,8,115,72.0,0.8,11.5,17.968749999999996
sunkern,3,18,36.0,0.3,1.8,20.0
sunflora,8,85,149.0,0.8,8.5,13.281249999999998
yanma,12,380,78.0,1.2,38.0,26.38888888888889
wooper,4,85,42.0,0.4,8.5,53.12499999999999
quagsire,14,750,151.0,1.4,75.0,38.26530612244898
espeon,9,265,184.0,0.9,26.5,32.716049382716044
umbreon,10,270,184.0,1.0,27.0,27.0
murkrow,5,21,81.0,0.5,2.1,8.4
slowking,20,795,172.0,2.0,79.5,19.875
misdreavus,7,10,87.0,0.7,1.0,2.0408163265306127
unown,5,50,118.0,0.5,5.0,20.0
wobbuffet,13,285,142.0,1.3,28.5,16.863905325443785
girafarig,15,415,159.0,1.5,41.5,18.444444444444443
pineco,6,72,58.0,0.6,7.2,20.0
forretress,12,1258,163.0,1.2,125.8,87.36111111111111
dunsparce,15,140,145.0,1.5,14.0,6.222222222222222
gligar,11,648,86.0,1.1,64.8,53.55371900826445
steelix,92,4000,179.0,9.2,400.0,4.725897920604916
snubbull,6,78,60.0,0.6,7.8,21.666666666666668
granbull,14,487,158.0,1.4,48.7,24.84693877551021
qwilfish,5,39,88.0,0.5,3.9,15.6
scizor,18,1180,175.0,1.8,118.0,36.41975308641975
shuckle,6,205,177.0,0.6,20.5,56.94444444444445
heracross,15,540,175.0,1.5,54.0,24.0
sneasel,9,280,86.0,0.9,28.0,34.5679012345679
teddiursa,6,88,66.0,0.6,8.8,24.444444444444446
ursaring,18,1258,175.0,1.8,125.8,38.82716049382716
slugma,7,350,50.0,0.7,35.0,71.42857142857144
magcargo,8,550,151.0,0.8,55.0,85.93749999999999
swinub,4,65,50.0,0.4,6.5,40.62499999999999
piloswine,11,558,158.0,1.1,55.8,46.115702479338836
corsola,6,50,144.0,0.6,5.0,13.88888888888889
remoraid,6,120,60.0,0.6,12.0,33.333333333333336
octillery,9,285,168.0,0.9,28.5,35.18518518518518
delibird,9,160,116.0,0.9,16.0,19.753086419753085
mantine,21,2200,170.0,2.1,220.0,49.88662131519274
skarmory,17,505,163.0,1.7,50.5,17.474048442906575
houndour,6,108,66.0,0.6,10.8,30.000000000000004
houndoom,14,350,175.0,1.4,35.0,17.85714285714286
kingdra,18,1520,243.0,1.8,152.0,46.913580246913575
phanpy,5,335,66.0,0.5,33.5,134.0
donphan,11,1200,175.0,1.1,120.0,99.17355371900825
porygon2,6,325,180.0,0.6,32.5,90.27777777777779
stantler,14,712,163.0,1.4,71.2,36.3265306122449
smeargle,12,580,88.0,1.2,58.0,40.27777777777778
tyrogue,7,210,42.0,0.7,21.0,42.85714285714286
hitmontop,14,480,159.0,1.4,48.0,24.48979591836735
smoochum,4,60,61.0,0.4,6.0,37.49999999999999
elekid,6,235,72.0,0.6,23.5,65.27777777777779
magby,7,214,73.0,0.7,21.4,43.673469387755105
miltank,12,755,172.0,1.2,75.5,52.43055555555556
blissey,15,468,608.0,1.5,46.8,20.799999999999997
raikou,19,1780,261.0,1.9,178.0,49.307479224376735
entei,21,1980,261.0,2.1,198.0,44.89795918367347
suicune,20,1870,261.0,2.0,187.0,46.75
larvitar,6,720,60.0,0.6,72.0,200.0
pupitar,12,1520,144.0,1.2,152.0,105.55555555555556
tyranitar,20,2020,270.0,2.0,202.0,50.5
lugia,52,2160,306.0,5.2,216.0,7.988165680473372
ho-oh,38,1990,306.0,3.8,199.0,13.781163434903048
celebi,6,50,270.0,0.6,5.0,13.88888888888889
treecko,5,50,62.0,0.5,5.0,20.0
grovyle,9,216,142.0,0.9,21.6,26.666666666666668
sceptile,17,522,239.0,1.7,52.2,18.062283737024224
torchic,4,25,62.0,0.4,2.5,15.624999999999996
combusken,9,195,142.0,0.9,19.5,24.074074074074073
blaziken,19,520,239.0,1.9,52.0,14.40443213296399
mudkip,4,76,62.0,0.4,7.6,47.499999999999986
marshtomp,7,280,142.0,0.7,28.0,57.14285714285715
swampert,15,819,241.0,1.5,81.9,36.400000000000006
poochyena,5,136,56.0,0.5,13.6,54.4
mightyena,10,370,147.0,1.0,37.0,37.0
zigzagoon,4,175,56.0,0.4,17.5,109.37499999999999
linoone,5,325,147.0,0.5,32.5,130.0
wurmple,3,36,56.0,0.3,3.6,40.0
silcoon,6,100,72.0,0.6,10.0,27.77777777777778
beautifly,10,284,178.0,1.0,28.4,28.4
cascoon,7,115,72.0,0.7,11.5,23.469387755102044
dustox,12,316,173.0,1.2,31.6,21.944444444444446
lotad,5,26,44.0,0.5,2.6,10.4
lombre,12,325,119.0,1.2,32.5,22.569444444444446
ludicolo,15,550,216.0,1.5,55.0,24.444444444444443
seedot,5,40,44.0,0.5,4.0,16.0
nuzleaf,10,280,119.0,1.0,28.0,28.0
shiftry,13,596,216.0,1.3,59.6,35.26627218934911
taillow,3,23,54.0,0.3,2.3,25.555555555555554
swellow,7,198,159.0,0.7,19.8,40.40816326530613
wingull,6,95,54.0,0.6,9.5,26.38888888888889
pelipper,12,280,154.0,1.2,28.0,19.444444444444446
ralts,4,66,40.0,0.4,6.6,41.24999999999999
kirlia,8,202,97.0,0.8,20.2,31.562499999999993
gardevoir,16,484,233.0,1.6,48.4,18.906249999999996
surskit,5,17,54.0,0.5,1.7,6.8
masquerain,8,36,159.0,0.8,3.6,5.624999999999999
shroomish,4,45,59.0,0.4,4.5,28.124999999999993
breloom,12,392,161.0,1.2,39.2,27.222222222222225
slakoth,8,240,56.0,0.8,24.0,37.49999999999999
vigoroth,14,465,154.0,1.4,46.5,23.72448979591837
slaking,20,1305,252.0,2.0,130.5,32.625
nincada,5,55,53.0,0.5,5.5,22.0
ninjask,8,120,160.0,0.8,12.0,18.749999999999996
shedinja,8,12,83.0,0.8,1.2,1.8749999999999996
whismur,6,163,48.0,0.6,16.3,45.27777777777778
loudred,10,405,126.0,1.0,40.5,40.5
exploud,15,840,221.0,1.5,84.0,37.333333333333336
makuhita,10,864,47.0,1.0,86.4,86.4
hariyama,23,2538,166.0,2.3,253.8,47.977315689981104
azurill,2,20,38.0,0.2,2.0,49.99999999999999
nosepass,10,970,75.0,1.0,97.0,97.0
skitty,6,110,52.0,0.6,11.0,30.555555555555557
delcatty,11,326,140.0,1.1,32.6,26.942148760330575
sableye,5,110,133.0,0.5,11.0,44.0
mawile,6,115,133.0,0.6,11.5,31.944444444444446
aron,4,600,66.0,0.4,60.0,374.99999999999994
lairon,9,1200,151.0,0.9,120.0,148.14814814814815
aggron,21,3600,239.0,2.1,360.0,81.63265306122449
meditite,6,112,56.0,0.6,11.2,31.11111111111111
medicham,13,315,144.0,1.3,31.5,18.63905325443787
electrike,6,152,59.0,0.6,15.2,42.22222222222222
manectric,15,402,166.0,1.5,40.2,17.866666666666667
plusle,4,42,142.0,0.4,4.2,26.249999999999996
minun,4,42,142.0,0.4,4.2,26.249999999999996
volbeat,7,177,151.0,0.7,17.7,36.12244897959184
illumise,6,177,151.0,0.6,17.7,49.166666666666664
roselia,3,20,140.0,0.3,2.0,22.22222222222222
gulpin,4,103,60.0,0.4,10.3,64.37499999999999
swalot,17,800,163.0,1.7,80.0,27.68166089965398
carvanha,8,208,61.0,0.8,20.8,32.49999999999999
sharpedo,18,888,161.0,1.8,88.8,27.407407407407405
wailmer,20,1300,80.0,2.0,130.0,32.5
wailord,145,3980,175.0,14.5,398.0,1.8929845422116527
numel,7,240,61.0,0.7,24.0,48.9795918367347
camerupt,19,2200,161.0,1.9,220.0,60.94182825484765
torkoal,5,804,165.0,0.5,80.4,321.6
spoink,7,306,66.0,0.7,30.6,62.448979591836746
grumpig,9,715,165.0,0.9,71.5,88.2716049382716
spinda,11,50,126.0,1.1,5.0,4.132231404958677
trapinch,7,150,58.0,0.7,15.0,30.612244897959187
vibrava,11,153,119.0,1.1,15.3,12.644628099173552
flygon,20,820,234.0,2.0,82.0,20.5
cacnea,4,513,67.0,0.4,51.3,320.62499999999994
cacturne,13,774,166.0,1.3,77.4,45.798816568047336
swablu,4,12,62.0,0.4,1.2,7.499999999999998
altaria,11,206,172.0,1.1,20.6,17.02479338842975
zangoose,13,403,160.0,1.3,40.3,23.846153846153843
seviper,27,525,160.0,2.7,52.5,7.201646090534979
lunatone,10,1680,161.0,1.0,168.0,168.0
solrock,12,1540,161.0,1.2,154.0,106.94444444444444
barboach,4,19,58.0,0.4,1.9,11.874999999999996
whiscash,9,236,164.0,0.9,23.6,29.135802469135804
corphish,6,115,62.0,0.6,11.5,31.944444444444446
crawdaunt,11,328,164.0,1.1,32.8,27.10743801652892
baltoy,5,215,60.0,0.5,21.5,86.0
claydol,15,1080,175.0,1.5,108.0,48.0
lileep,10,238,71.0,1.0,23.8,23.8
cradily,15,604,173.0,1.5,60.4,26.844444444444445
anorith,7,125,71.0,0.7,12.5,25.510204081632658
armaldo,15,682,173.0,1.5,68.2,30.311111111111114
feebas,6,74,40.0,0.6,7.4,20.555555555555557
milotic,62,1620,189.0,6.2,162.0,4.2143600416233085
castform,3,8,147.0,0.3,0.8,8.88888888888889
kecleon,10,220,154.0,1.0,22.0,22.0
shuppet,6,23,59.0,0.6,2.3,6.388888888888888
banette,11,125,159.0,1.1,12.5,10.330578512396693
duskull,8,150,59.0,0.8,15.0,23.437499999999996
dusclops,16,306,159.0,1.6,30.6,11.953124999999998
tropius,20,1000,161.0,2.0,100.0,25.0
chimecho,6,10,159.0,0.6,1.0,2.7777777777777777
absol,12,470,163.0,1.2,47.0,32.63888888888889
wynaut,6,140,52.0,0.6,14.0,38.88888888888889
snorunt,7,168,60.0,0.7,16.8,34.28571428571429
glalie,15,2565,168.0,1.5,256.5,114.0
spheal,8,395,58.0,0.8,39.5,61.718749999999986
sealeo,11,876,144.0,1.1,87.6,72.39669421487602
walrein,14,1506,239.0,1.4,150.6,76.83673469387756
clamperl,4,525,69.0,0.4,52.5,328.12499999999994
huntail,17,270,170.0,1.7,27.0,9.34256055363322
gorebyss,18,226,170.0,1.8,22.6,6.9753086419753085
relicanth,10,234,170.0,1.0,23.4,23.4
luvdisc,6,87,116.0,0.6,8.7,24.166666666666664
bagon,6,421,60.0,0.6,42.1,116.94444444444446
shelgon,11,1105,147.0,1.1,110.5,91.32231404958677
salamence,15,1026,270.0,1.5,102.6,45.599999999999994
beldum,6,952,60.0,0.6,95.2,264.44444444444446
metang,12,2025,147.0,1.2,202.5,140.625
metagross,16,5500,270.0,1.6,550.0,214.84374999999997
regirock,17,2300,261.0,1.7,230.0,79.5847750865052
regice,18,1750,261.0,1.8,175.0,54.01234567901234
registeel,19,2050,261.0,1.9,205.0,56.78670360110804
latias,14,400,270.0,1.4,40.0,20.408163265306126
latios,20,600,270.0,2.0,60.0,15.0
kyogre,45,3520,302.0,4.5,352.0,17.382716049382715
groudon,35,9500,302.0,3.5,950.0,77.55102040816327
rayquaza,70,2065,306.0,7.0,206.5,4.214285714285714
jirachi,3,11,270.0,0.3,1.1,12.222222222222223
deoxys-normal,17,608,270.0,1.7,60.8,21.038062283737027
turtwig,4,102,64.0,0.4,10.2,63.749999999999986
grotle,11,970,142.0,1.1,97.0,80.16528925619834
torterra,22,3100,236.0,2.2,310.0,64.0495867768595
chimchar,5,62,62.0,0.5,6.2,24.8
monferno,9,220,142.0,0.9,22.0,27.160493827160494
infernape,12,550,240.0,1.2,55.0,38.19444444444444
piplup,4,52,63.0,0.4,5.2,32.49999999999999
prinplup,8,230,142.0,0.8,23.0,35.93749999999999
empoleon,17,845,239.0,1.7,84.5,29.238754325259517
starly,3,20,49.0,0.3,2.0,22.22222222222222
staravia,6,155,119.0,0.6,15.5,43.05555555555556
staraptor,12,249,218.0,1.2,24.9,17.291666666666668
bidoof,5,200,50.0,0.5,20.0,80.0
bibarel,10,315,144.0,1.0,31.5,31.5
kricketot,3,22,39.0,0.3,2.2,24.444444444444446
kricketune,10,255,134.0,1.0,25.5,25.5
shinx,5,95,53.0,0.5,9.5,38.0
luxio,9,305,127.0,0.9,30.5,37.654320987654316
luxray,14,420,235.0,1.4,42.0,21.42857142857143
budew,2,12,56.0,0.2,1.2,29.999999999999993
roserade,9,145,232.0,0.9,14.5,17.901234567901234
cranidos,9,315,70.0,0.9,31.5,38.888888888888886
rampardos,16,1025,173.0,1.6,102.5,40.03906249999999
shieldon,5,570,70.0,0.5,57.0,228.0
bastiodon,13,1495,173.0,1.3,149.5,88.46153846153845
burmy,2,34,45.0,0.2,3.4,84.99999999999999
wormadam-plant,5,65,148.0,0.5,6.5,26.0
mothim,9,233,148.0,0.9,23.3,28.76543209876543
combee,3,55,49.0,0.3,5.5,61.111111111111114
vespiquen,12,385,166.0,1.2,38.5,26.73611111111111
pachirisu,4,39,142.0,0.4,3.9,24.374999999999996
buizel,7,295,66.0,0.7,29.5,60.20408163265307
floatzel,11,335,173.0,1.1,33.5,27.685950413223136
cherubi,4,33,55.0,0.4,3.3,20.624999999999996
cherrim,5,93,158.0,0.5,9.3,37.2
shellos,3,63,65.0,0.3,6.3,70.0
gastrodon,9,299,166.0,0.9,29.9,36.913580246913575
ambipom,12,203,169.0,1.2,20.3,14.097222222222223
drifloon,4,12,70.0,0.4,1.2,7.499999999999998
drifblim,12,150,174.0,1.2,15.0,10.416666666666668
buneary,4,55,70.0,0.4,5.5,34.37499999999999
lopunny,12,333,168.0,1.2,33.3,23.125
mismagius,9,44,173.0,0.9,4.4,5.432098765432099
honchkrow,9,273,177.0,0.9,27.3,33.7037037037037
glameow,5,39,62.0,0.5,3.9,15.6
purugly,10,438,158.0,1.0,43.8,43.8
chingling,2,6,57.0,0.2,0.6,14.999999999999996
stunky,4,192,66.0,0.4,19.2,119.99999999999997
skuntank,10,380,168.0,1.0,38.0,38.0
bronzor,5,605,60.0,0.5,60.5,242.0
bronzong,13,1870,175.0,1.3,187.0,110.65088757396448
bonsly,5,150,58.0,0.5,15.0,60.0
mime-jr,6,130,62.0,0.6,13.0,36.111111111111114
happiny,6,244,110.0,0.6,24.4,67.77777777777777
chatot,5,19,144.0,0.5,1.9,7.6
spiritomb,10,1080,170.0,1.0,108.0,108.0
gible,7,205,60.0,0.7,20.5,41.83673469387756
gabite,14,560,144.0,1.4,56.0,28.571428571428577
garchomp,19,950,270.0,1.9,95.0,26.315789473684212
munchlax,6,1050,78.0,0.6,105.0,291.6666666666667
riolu,7,202,57.0,0.7,20.2,41.22448979591837
lucario,12,540,184.0,1.2,54.0,37.5
hippopotas,8,495,66.0,0.8,49.5,77.34374999999999
hippowdon,20,3000,184.0,2.0,300.0,75.0
skorupi,8,120,66.0,0.8,12.0,18.749999999999996
drapion,13,615,175.0,1.3,61.5,36.390532544378694
croagunk,7,230,60.0,0.7,23.0,46.93877551020409
toxicroak,13,444,172.0,1.3,44.4,26.272189349112423
carnivine,14,270,159.0,1.4,27.0,13.775510204081634
finneon,4,70,66.0,0.4,7.0,43.74999999999999
lumineon,12,240,161.0,1.2,24.0,16.666666666666668
mantyke,10,650,69.0,1.0,65.0,65.0
snover,10,505,67.0,1.0,50.5,50.5
abomasnow,22,1355,173.0,2.2,135.5,27.995867768595037
weavile,11,340,179.0,1.1,34.0,28.099173553719005
magnezone,12,1800,241.0,1.2,180.0,125.0
lickilicky,17,1400,180.0,1.7,140.0,48.44290657439447
rhyperior,24,2828,241.0,2.4,282.8,49.09722222222223
tangrowth,20,1286,187.0,2.0,128.6,32.15
electivire,18,1386,243.0,1.8,138.6,42.77777777777777
magmortar,16,680,243.0,1.6,68.0,26.562499999999996
togekiss,15,380,245.0,1.5,38.0,16.88888888888889
yanmega,19,515,180.0,1.9,51.5,14.265927977839336
leafeon,10,255,184.0,1.0,25.5,25.5
glaceon,8,259,184.0,0.8,25.9,40.46874999999999
gliscor,20,425,179.0,2.0,42.5,10.625
mamoswine,25,2910,239.0,2.5,291.0,46.56
porygon-z,9,340,241.0,0.9,34.0,41.9753086419753
gallade,16,520,233.0,1.6,52.0,20.312499999999996
probopass,14,3400,184.0,1.4,340.0,173.46938775510208
dusknoir,22,1066,236.0,2.2,106.6,22.024793388429746
froslass,13,266,168.0,1.3,26.6,15.7396449704142
rotom,3,3,154.0,0.3,0.3,3.3333333333333335
uxie,3,3,261.0,0.3,0.3,3.3333333333333335
mesprit,3,3,261.0,0.3,0.3,3.3333333333333335
azelf,3,3,261.0,0.3,0.3,3.3333333333333335
dialga,54,6830,306.0,5.4,683.0,23.422496570644714
palkia,42,3360,306.0,4.2,336.0,19.047619047619047
heatran,17,4300,270.0,1.7,430.0,148.78892733564015
regigigas,37,4200,302.0,3.7,420.0,30.67932797662527
giratina-altered,45,7500,306.0,4.5,750.0,37.03703703703704
cresselia,15,856,270.0,1.5,85.6,38.044444444444444
phione,4,31,216.0,0.4,3.1,19.374999999999996
manaphy,3,14,270.0,0.3,1.4,15.555555555555555
darkrai,15,505,270.0,1.5,50.5,22.444444444444443
shaymin-land,2,21,270.0,0.2,2.1,52.49999999999999
arceus,32,3200,324.0,3.2,320.0,31.249999999999993
victini,4,40,270.0,0.4,4.0,24.999999999999996
snivy,6,81,62.0,0.6,8.1,22.5
servine,8,160,145.0,0.8,16.0,24.999999999999996
serperior,33,630,238.0,3.3,63.0,5.785123966942149
tepig,5,99,62.0,0.5,9.9,39.6
pignite,10,555,146.0,1.0,55.5,55.5
